id,source,claim,check,result,verdict,true_statement
C-CONF-35,docs/configuration.md:337,Sensors and entities: everything the optimizer reads -- 22 fields in all,_OPTION_FIELDS rows with step == entities,"measured 15, documented 22",false,the 'Sensors and entities' page carries 15 fields; the meters and the frequency path moved to 'Power and solar sensors' and 'Heat pump telemetry'
C-CONF-36,docs/configuration.md:232,"Comfort and temperatures: the seven temperature fields, and three more",_OPTION_FIELDS rows with step == comfort,"measured 18, documented 10",false,the Comfort and temperatures page carries 18 fields
C-CONF-37,docs/configuration.md:245,"Hot water: the eleven fields from setup step 4 reappear here unchanged, twelve more",_OPTION_FIELDS rows with step == hot_water,"measured 10, documented 23",false,"the Hot water page carries 10 fields; the tank, inlet and pump fields are on 'Hot water tank and inlet' and 'Circulation pumps'"
C-CONF-38,docs/configuration.md:317-324,'Away and holiday mode' offers Enable away mode and Expected return time,_OPTION_FIELDS rows with step == away,"away page fields = ['away_presence_entity', 'holiday_calendar_entity', 'away_temperature', 'away_dhw_min_temperature']",false,"the Away and holiday mode page offers 4 fields (away_presence_entity, holiday_calendar_entity, away_temperature, away_dhw_min_temperature); there is no 'Enable away mode' toggle and no 'Expected return time' field -- the Away switch and the Away Return datetime entity carry that state"
C-CONF-39,docs/configuration.md:257,'Heating circulation pump switch' is a field on the Hot water page,_OPTION_FIELDS row for space_circulation_pump_entity,space_circulation_pump_entity is on step 'building' (Heating system and heat storage),false,it is on the 'Heating system and heat storage' page
C-CONF-40,docs/configuration.md:428-470,the Self-learning and diagnostics page carries the listed learners,_OPTION_FIELDS rows for learning vs learning_features vs building,"learning page = ['staleness_watchdog_enabled', 'staleness_max_age_scale', 'comfort_learning_enabled', 'system_identification_enabled', 'price_prior_enabled']; documented-but-elsewhere = {'outage_recovery_enabled': 'learning_features', 'open_window_relax_enabled': 'learning_features', 'immersion_feedback_enabled': 'learning_features', 'curve_learning_enabled': 'learning_features', 'external_heat_detection_enabled': 'building'}",false,the page carries 5 fields; the rest are on 'Advanced learning features' and 'Heating system and heat storage'
C-RM-40,README.md:~560,12 services are registered under the heatpump_optimizer domain,len(services.yaml),"measured 12, documented 12",true,
C-CONF-50,docs/configuration.md:~560,set_thermal_parameters: 28 optional model fields,len(services.yaml[set_thermal_parameters].fields),"measured 28, documented 28",true,
C-CONF-51,docs/configuration.md:~561,simulate_plan: 11 optional comfort fields,len(services.yaml[simulate_plan].fields),"measured 16, documented 11",false,simulate_plan declares 16 fields
C-CONF-52,docs/configuration.md:~562,apply_schedule: 5 optional schedule fields + entry_id,len(services.yaml[apply_schedule].fields),"measured 6, documented 6",true,
C-CONF-53,docs/configuration.md:~563,"assign_entity: key, entity_id (both required) + entry_id",len(services.yaml[assign_entity].fields),"measured 4, documented 3",false,assign_entity declares 4 fields
C-CONF-54,docs/configuration.md:~564,"apply_topology: layout (required), positions, entry_id",len(services.yaml[apply_topology].fields),"measured 5, documented 3",false,apply_topology declares 5 fields
C-CONF-55,docs/configuration.md:~566,"apply_manual_plan: space_slots, dhw_slots, expires_at, entry_id",len(services.yaml[apply_manual_plan].fields),"measured 4, documented 4",true,
C-CONF-56,docs/configuration.md:~600,"simulate_plan fields, all optional: target_temp, min_temp, max_temp, comfort_weight, comfort_temp_day, comfort_temp_night, dhw_setpoint, dhw_min_temperature, day_start_hour, day_end_hour, dhw_windows",the schema's own key set vs the documented list,"schema accepts 16; undocumented: ['wood_furnace_efficiency', 'wood_packing', 'wood_price_sek_m3', 'wood_slots', 'wood_type']",false,"the schema also accepts ['wood_furnace_efficiency', 'wood_packing', 'wood_price_sek_m3', 'wood_slots', 'wood_type']"
C-CONF-57,docs/configuration.md:~640,"assign_entity key is one of the 21 assignable configuration keys, listed",topology.ASSIGNABLE_KEYS vs the documented list,"ASSIGNABLE_KEYS=21, documented=21, diff=[]",true,
C-CONF-58,docs/configuration.md:~575,the seven services that act on a specific config entry also accept entry_id,services.yaml fields carrying entry_id,"7 services accept entry_id: ['apply_manual_plan', 'apply_schedule', 'apply_topology', 'assign_entity', 'clear_manual_plan', 'diagnose_interval', 'restore_learned_snapshot']",true,
C-CONF-59,docs/configuration.md:~610,set_thermal_parameters physics bounds as documented (28 ranges),vol.Range min/max on each field of SERVICE_SCHEMA_SET_THERMAL_PARAMS,"25 documented ranges checked, 0 disagree: {}",true,
C-CONF-60,docs/configuration.md services table,every services.yaml example validates against its own registered schema,services.yaml example payloads fed through SERVICE_SCHEMA_*,"6 example payloads validated, 0 rejected: []",true,
C-CONF-61,docs/configuration.md hydronic catalog,four selectable catalog keys plus one recorded-not-selectable layout,topology.LAYOUTS selectable flags,"measured (4, 5), documented (4, 5)",true,
C-CONF-62,docs/configuration.md set_mode,"set_mode takes auto, comfort, economy, boost or off",const.OPERATION_MODES,"measured ['auto', 'boost', 'comfort', 'economy', 'off'], documented ['auto', 'boost', 'comfort', 'economy', 'off']",true,
C-CONF-63,docs/configuration.md set_mode,"economy allows up to 1.5 °C below the comfort floor, never below 15 °C",const.ECONOMY_MIN_TEMP_WIDENING / ECONOMY_ABSOLUTE_FLOOR,"measured (1.5, 15.0), documented (1.5, 15.0)",true,
C-CONF-64,docs/configuration.md apply_manual_plan,expires_at defaults to 20 hours from now,const.MANUAL_PLAN_WINDOW_HOURS,"measured 20, documented 20",true,
C-RM-10,README.md:~300,Every entry keeps its learners and ledgers in ten files under .storage/,Store.__init__ spy over every store factory,"measured 12, documented 10",false,the integration constructs 12 stores
C-RM-11,README.md:~305,"the ten .storage file names, listed",Store.__init__ spy vs the README list,"constructed=['accuracy', 'away', 'boost', 'dhw_draws', 'dhw_legionella', 'dhw_profile', 'energy', 'ledger', 'manual_plan', 'price_model', 'snapshots', 'thermal_learning']; documented=['accuracy', 'away', 'boost', 'dhw_draws', 'dhw_legionella', 'dhw_profile', 'energy', 'ledger', 'manual_plan', 'price_model', 'snapshots', 'thermal_learning']; undocumented=[]",true,
C-RM-20,README.md:~325,target 21 °C,const.DEFAULT_TARGET_TEMP,"measured 21.0, documented 21.0",true,
C-RM-21,README.md:~325,day comfort 21 °C,const.DEFAULT_COMFORT_TEMP_DAY,"measured 21.0, documented 21.0",true,
C-RM-22,README.md:~325,night comfort 19.5 °C,const.DEFAULT_COMFORT_TEMP_NIGHT,"measured 19.5, documented 19.5",true,
C-RM-23,README.md:~325,day runs 07:00,const.DEFAULT_DAY_START_HOUR,"measured 7, documented 7",true,
C-RM-24,README.md:~325,day runs to 22:00,const.DEFAULT_DAY_END_HOUR,"measured 22, documented 22",true,
C-RM-25,README.md:~330,"demand frames 06:00-08:30, 17:00-22:00",const.DEFAULT_DHW_WINDOWS,"measured '06:00-08:30, 17:00-22:00', documented '06:00-08:30, 17:00-22:00'",true,
C-RM-26,README.md:~332,anti-legionella on by default at 60 °C,const.DEFAULT_DHW_LEGIONELLA_TEMP,"measured 60.0, documented 60.0",true,
C-RM-27,README.md:~332,anti-legionella every 7 days,const.DEFAULT_DHW_LEGIONELLA_INTERVAL_DAYS,"measured 7.0, documented 7.0",true,
C-RM-28,README.md:~336,3 % per m/s of wind,const.DEFAULT_WIND_SENSITIVITY,"measured 0.03, documented 0.03",true,
C-RM-29,README.md:~336,15 % while raining,const.DEFAULT_RAIN_HEAT_LOSS_MULTIPLIER,"measured 1.15, documented 1.15",true,
C-RM-32,README.md:~337,optimization interval 30 minutes by default,const.DEFAULT_OPTIMIZATION_INTERVAL,"measured 30, documented 30",true,
C-RM-33,README.md:~715,"comfort_weight, default 5",const.DEFAULT_COMFORT_WEIGHT,"measured 5.0, documented 5.0",true,
C-CONF-10,docs/configuration.md:88,Coldest acceptable temperature 19.0 °C,const.DEFAULT_MIN_TEMP,"measured 19.0, documented 19.0",true,
C-CONF-11,docs/configuration.md:89,Warmest acceptable temperature 23.0 °C,const.DEFAULT_MAX_TEMP,"measured 23.0, documented 23.0",true,
C-CONF-12,docs/configuration.md:~120,Heated floor area 140 m²,const.DEFAULT_HEATED_AREA,"measured 140.0, documented 140.0",true,
C-CONF-13,docs/configuration.md:~128,Heat pump nominal COP 3.5,const.DEFAULT_HEAT_PUMP_COP_NOMINAL,"measured 3.5, documented 3.5",true,
C-CONF-14,docs/configuration.md:~129,Heat pump max power 5.0 kW,const.DEFAULT_HEAT_PUMP_MAX_POWER,"measured 5.0, documented 5.0",true,
C-CONF-15,docs/configuration.md:~130,Heat pump min power 1.0 kW,const.DEFAULT_HEAT_PUMP_MIN_POWER,"measured 1.0, documented 1.0",true,
C-CONF-16,docs/configuration.md:~137,House thermal mass 10.0 kWh/°C,const.DEFAULT_HOUSE_THERMAL_MASS,"measured 10.0, documented 10.0",true,
C-CONF-17,docs/configuration.md:~138,Heat loss coefficient 0.15 kW/°C,const.DEFAULT_HOUSE_HEAT_LOSS_COEFFICIENT,"measured 0.15, documented 0.15",true,
C-CONF-18,docs/configuration.md:~139,Slab floor thermal mass 5.0 kWh/°C,const.DEFAULT_SLAB_THERMAL_MASS,"measured 5.0, documented 5.0",true,
C-CONF-19,docs/configuration.md:~140,Slab-to-room heat transfer 0.8 kW/°C,const.DEFAULT_SLAB_HEAT_TRANSFER,"measured 0.8, documented 0.8",true,
C-CONF-20,docs/configuration.md:~152,Upper floor thermal mass 3.0 kWh/°C,const.DEFAULT_UPPER_FLOOR_THERMAL_MASS,"measured 3.0, documented 3.0",true,
C-CONF-21,docs/configuration.md:~153,Lower floor thermal mass 8.0 kWh/°C,const.DEFAULT_LOWER_FLOOR_THERMAL_MASS,"measured 8.0, documented 8.0",true,
C-CONF-22,docs/configuration.md:~154,Upper floor heat loss 0.08 kW/°C,const.DEFAULT_UPPER_FLOOR_HEAT_LOSS,"measured 0.08, documented 0.08",true,
C-CONF-23,docs/configuration.md:~155,Lower floor heat loss 0.07 kW/°C,const.DEFAULT_LOWER_FLOOR_HEAT_LOSS,"measured 0.07, documented 0.07",true,
C-CONF-24,docs/configuration.md:~156,Inter-zone heat transfer 0.5 kW/°C,const.DEFAULT_INTER_ZONE_TRANSFER,"measured 0.5, documented 0.5",true,
C-CONF-25,docs/configuration.md:~157,Share of heat going to radiators 0.4,const.DEFAULT_RADIATOR_POWER_FRACTION,"measured 0.4, documented 0.4",true,
C-CONF-26,docs/configuration.md:~158,Upper floor area ratio 0.5,const.DEFAULT_UPPER_FLOOR_AREA_RATIO,"measured 0.5, documented 0.5",true,
C-CONF-27,docs/configuration.md:~159,Buffer tank size 35 L,const.DEFAULT_BUFFER_TANK_VOLUME,"measured 35.0, documented 35.0",true,
C-CONF-28,docs/configuration.md:~160,Window area 10 m²,const.DEFAULT_WINDOW_AREA,"measured 10.0, documented 10.0",true,
C-CONF-29,docs/configuration.md:~161,Solar orientation factor 0.7,const.DEFAULT_SOLAR_ORIENTATION_FACTOR,"measured 0.7, documented 0.7",true,
C-CONF-41,docs/configuration.md:~162,SHGC 0.7,const.DEFAULT_SOLAR_HEAT_GAIN_COEFF,"measured 0.7, documented 0.7",true,
C-CONF-42,docs/configuration.md:~172,Hot water tank size 200 L,const.DEFAULT_DHW_TANK_VOLUME,"measured 200.0, documented 200.0",true,
C-CONF-43,docs/configuration.md:~173,Highest tank temperature 55 °C,const.DEFAULT_DHW_SETPOINT,"measured 55.0, documented 55.0",true,
C-CONF-44,docs/configuration.md:~174,Hot water temperature you need 45 °C,const.DEFAULT_DHW_MIN_TEMP,"measured 45.0, documented 45.0",true,
C-CONF-45,docs/configuration.md:~175,Hot water used per day 150 L/day,const.DEFAULT_DHW_DAILY_CONSUMPTION,"measured 150.0, documented 150.0",true,
C-CONF-46,docs/configuration.md:~176,Tank heat loss 0.3 °C/h,const.DEFAULT_DHW_COOLING_RATE,"measured 0.3, documented 0.3",true,
C-CONF-47,docs/configuration.md:~179,Let the tank cool to 20 °C,const.DEFAULT_DHW_IDLE_MIN_TEMP,"measured 20.0, documented 20.0",true,
C-CONF-48,docs/configuration.md:~234,Worst thermal bridge factor 0.75,const.DEFAULT_THERMAL_BRIDGE_FRSI,"measured 0.75, documented 0.75",true,
C-CONF-49,docs/configuration.md:~249,Cold water inlet temperature 10.0 °C,const.DEFAULT_DHW_INLET_TEMP,"measured 10.0, documented 10.0",true,
C-CONF-65,docs/configuration.md:~257,Shower flow rate 8.0 L/min,const.DEFAULT_SHOWER_FLOW_LPM,"measured 8.0, documented 8.0",true,
C-CONF-66,docs/configuration.md:~259,Start circulation before a time frame 20 min,const.DEFAULT_VVC_LEAD_MINUTES,"measured 20, documented 20",true,
C-CONF-67,docs/configuration.md:~253,Earliest anti-legionella re-run 5 days,const.DEFAULT_DHW_LEGIONELLA_MIN_INTERVAL_DAYS,"measured 5.0, documented 5.0",true,
C-CONF-68,docs/configuration.md:~279,Capacity charge per kW per month 45,const.DEFAULT_PEAK_TARIFF_PRICE,"measured 45.0, documented 45.0",true,
C-CONF-69,docs/configuration.md:~280,Number of peak hours averaged 3,const.DEFAULT_PEAK_TARIFF_COUNT,"measured 3, documented 3",true,
C-CONF-70,docs/configuration.md:~288,Main fuse size 0 A means unconfigured,const.DEFAULT_MAIN_FUSE_A,"measured 0, documented 0",true,
C-CONF-71,docs/configuration.md:~289,Phases 3,const.DEFAULT_MAIN_FUSE_PHASES,"measured 3, documented 3",true,
C-CONF-72,docs/configuration.md:~292,Peak guard margin 0.5 kW,const.DEFAULT_PEAK_GUARD_MARGIN_KW,"measured 0.5, documented 0.5",true,
C-CONF-73,docs/configuration.md:~322,Temperature while away 16.0 °C,const.DEFAULT_AWAY_TEMPERATURE,"measured 16.0, documented 16.0",true,
C-CONF-74,docs/configuration.md:~323,Hot water minimum while away 20.0 °C,const.DEFAULT_AWAY_DHW_MIN_TEMP,"measured 20.0, documented 20.0",true,
C-CONF-75,docs/configuration.md:~360,Valve target temperature 0 °C,const.DEFAULT_MIXING_VALVE_TARGET,"measured 0.0, documented 0.0",true,
C-CONF-76,docs/configuration.md:~364,Maximum buffer tank temperature 70 °C,const.DEFAULT_BUFFER_MAX_TEMP,"measured 70.0, documented 70.0",true,
C-CONF-77,docs/configuration.md:~368,Wood tank volume 500 L,const.DEFAULT_WOOD_TANK_VOLUME,"measured 500.0, documented 500.0",true,
C-CONF-78,docs/configuration.md:~404,Overall system efficiency 0.80,const.DEFAULT_PV_EFFICIENCY,"measured 0.8, documented 0.8",true,
C-CONF-79,docs/configuration.md:~430,Allow this much extra age 1.0,const.DEFAULT_STALENESS_SCALE,"measured 1.0, documented 1.0",true,
C-CONF-80,docs/configuration.md:~434,Temperature rise that counts 1.5 °C/h,const.DEFAULT_EXTERNAL_HEAT_MIN_RISE,"measured 1.5, documented 1.5",true,
C-CONF-81,docs/configuration.md:~435,How long to keep assuming it 90 min,const.DEFAULT_EXTERNAL_HEAT_DECAY_MINUTES,"measured 90.0, documented 90.0",true,
C-CONF-82,docs/configuration.md:~442,Compressor rated starts 100 000,const.DEFAULT_COMPRESSOR_RATED_STARTS,"measured 100000, documented 100000",true,
C-ECL-01,docs/configuration.md:~478,Offset command topic default,const.DEFAULT_ECL110_DISPLACE_SET_TOPIC,"measured 'ecl110/flow_temp_control/displace/set', documented 'ecl110/flow_temp_control/displace/set'",true,
C-ECL-02,docs/configuration.md:~479,Legacy JSON command topic default,const.DEFAULT_ECL110_COMMAND_TOPIC,"measured 'ecl110/command', documented 'ecl110/command'",true,
C-ECL-03,docs/configuration.md:~480,Status topic default,const.DEFAULT_ECL110_STATE_TOPIC,"measured 'ecl110/flow_temp_control/displace', documented 'ecl110/flow_temp_control/displace'",true,
C-ECL-04,docs/configuration.md:~481,MQTT quality of service 1,const.DEFAULT_ECL110_QOS,"measured 1, documented 1",true,
C-ECL-05,docs/configuration.md:~483,Largest downward offset -20 °C,const.DEFAULT_ECL110_DISPLACE_MIN,"measured -20.0, documented -20.0",true,
C-ECL-06,docs/configuration.md:~484,Largest upward offset 20 °C,const.DEFAULT_ECL110_DISPLACE_MAX,"measured 20.0, documented 20.0",true,
C-ECL-07,docs/configuration.md:~485,Controller response time 1.5 h,const.DEFAULT_ECL110_PID_TIME_CONSTANT,"measured 1.5, documented 1.5",true,
C-HIW-01,docs/how-it-works.md:~555,default inlet reference 10.0 °C,const.DEFAULT_DHW_INLET_TEMP,"measured 10.0, documented 10.0",true,
C-RM-50,README.md:~120,a cool-only heat-curve correction of at most 0.5 K per week,curve_learning.MAX_DOWN_PER_WEEK,"measured 0.5, documented 0.5",true,
C-RM-51,README.md:~120,the correction can only cool (upper bias bound 0),curve_learning.BIAS_MAX,"measured 0.0, documented 0.0",true,
C-RM-52,README.md:~124,every learner is snapshotted weekly,snapshots.SNAPSHOT_INTERVAL_DAYS,"measured 7.0, documented 7.0",true,
C-RM-53,README.md:~124,the last eight snapshots are kept,snapshots.RING_SIZE,"measured 8, documented 8",true,
C-RM-54,README.md:~520,at most one number.set_value per five minutes,freq_control.FREQ_WRITE_MIN_INTERVAL_S,"measured 300.0, documented 300.0",true,
C-RM-55,README.md:~522,diverging for three active ticks stands the controller down,freq_control.FREQ_WATCHDOG_TICKS,"measured 3, documented 3",true,
C-RM-56,README.md:~500,Boost applies maximum heat for two hours,boost.BOOST_HOURS,"measured 2, documented 2",true,
C-RM-57,README.md:~140,heavy-day (90th percentile) target,dhw_draws.DrawStatistics.quantile default q,"measured 0.9, documented 0.9",true,
C-RM-58,README.md:~640,the peak guard needs two agreeing samples to engage and two to clear,const.START_HYSTERESIS_SAMPLES,"measured 2, documented 2",true,
C-HIW-02,docs/how-it-works.md:578,the learned cooling rate is clamped to 0.05-3.0 °C/h,const.DHW_COOLING_RATE_MIN / const.DHW_COOLING_RATE_MAX,"measured (0.05, 3.0), documented (0.05, 3.0)",true,
C-HIW-03,docs/how-it-works.md:1010,"the COP scale is bounded to [0.5, 1.6]",const.COP_SCALE_MIN / const.COP_SCALE_MAX,"measured (0.5, 1.6), documented (0.5, 1.6)",true,
C-HIW-04,docs/how-it-works.md:1176,"a ring of weekly snapshots, the last 8 kept",snapshots.RING_SIZE,"measured 8, documented 8",true,
C-HIW-05,docs/how-it-works.md:1226,one what-if tile with power capped at 75%,price tile power cap in the tile rotation,"measured 0.75, documented 0.75",true,
C-HIW-06,docs/how-it-works.md:1150,ease the heating target by 1 °C while the window is open,const.OPEN_WINDOW_RELAX_C,"measured 1.0, documented 1.0",true,
C-HIW-07,docs/how-it-works.md:~1130,the capacity clamp keeps at least 60 % of nameplate available,const.CAPACITY_FLOOR_FRACTION,"measured 0.6, documented 0.6",true,
C-HIW-08,docs/configuration.md:~452,solar aperture clamped between 0.3x and 2x,const.SOLAR_APERTURE_MIN / const.SOLAR_APERTURE_MAX,"measured (0.3, 2.0), documented (0.3, 2.0)",true,
C-HIW-09,docs/configuration.md:~446,confidence margin capped at 0.8 °C,const.CONFIDENCE_MARGIN_CAP_C,"measured 0.8, documented 0.8",true,
C-HIW-10,docs/configuration.md:~449,a two-hour recovery window where hot water queues 45 minutes behind space heating,const.OUTAGE_RECOVERY_HOURS / const.OUTAGE_DHW_DELAY_MINUTES,"measured (2.0, 45.0), documented (2.0, 45.0)",true,
C-HIW-11,docs/configuration.md:~455,halves modelled solar gain for two days after heavy snowfall,const.SNOW_ROOF_DAMPING / const.SNOW_ROOF_DAYS,"measured (0.5, 2.0), documented (0.5, 2.0)",true,
C-HIW-12,docs/configuration.md:~234,mold starts where surface humidity stays above 80 %,const.MOLD_SURFACE_RH_LIMIT,"measured 0.8, documented 0.8",true,
C-HIW-13,docs/configuration.md:~300,a rate at most 10 per kWh is accepted,grid_fee.py plausibility bound,"measured 10.0, documented 10",true,
C-HIW-14,docs/configuration.md:~366,the buffer is planned around as a store only at 100 L or more,const.BUFFER_STORE_MIN_VOLUME,"measured 100.0, documented 100.0",true,
C-HIW-15,docs/configuration.md:~174,the minimum must be at least 5 °C below the charge limit,const.DHW_MIN_TEMP_SETPOINT_MARGIN,"measured 5.0, documented 5.0",true,
C-RM-59,README.md:~440,DHW Mixed Water reports litres of 40 °C water,const.DHW_MIXED_USE_TEMP,"measured 40.0, documented 40.0",true,
C-MAN-01,manifest.json / README badge,manifest version equals VERSION,manifest.json[version] vs VERSION,"measured '6.4.3', documented '6.4.3'",true,
C-MAN-02,hacs.json / README,Home Assistant 2025.2.0 or newer,hacs.json[homeassistant],"measured '2025.2.0', documented '2025.2.0'",true,
C-MAN-03,README.md requirements,numpy and scipy are installed from the manifest,manifest.json[requirements],"measured ['numpy>=1.24.0', 'scipy>=1.10.0', 'threadpoolctl>=3.5.0'], documented ['numpy>=1.24.0', 'scipy>=1.10.0', 'threadpoolctl>=3.5.0']",true,
C-MAN-04,README.md,the integration documentation link points at the repository,manifest.json[documentation],"measured 'https://github.com/tvofi/heatpump_optimizer', documented 'https://github.com/tvofi/heatpump_optimizer'",true,
C-MAN-05,hacs.json,hacs.json renders the README,hacs.json[render_readme],"measured True, documented True",true,
C-MAN-06,README.md badge,the HA badge states the floor hacs.json declares,README badge text vs hacs.json,"badge=2025.2.0, hacs.json=2025.2.0",true,
C-TR-01,README.md:~150,entity names are translated (English and Swedish) and follow your Home Assistant language,strings.json vs translations/en.json vs translations/sv.json entity key sets,"strings.json entity leaves=102, en=102, sv=102; missing en=0, missing sv=0",true,
C-TR-02,docs/configuration.md option pages,every options page the flow can open has a title in strings.json,config_flow._OPTION_PAGES vs strings.json[options][step],"21 pages, 23 step blocks; missing titles: []",true,
C-LINK-01,README.md + docs/*.md,every relative markdown link points at a file that exists,path resolution for each relative link target,"66 relative links resolved, 0 broken (0 skipped as deleted-from-export): []",true,
C-VER-01,README.md:~150,Since v5.0.0 entity names are translated,not checkable in this export,needs release history; the export carries VERSION=6.4.3 only,unverifiable,
C-VER-02,README.md:~795,Since v4.1.0 the ECL110 settings live only on the Heat curve control options page,not checkable in this export,needs release history; only the current flow is observable here,unverifiable,
C-VER-03,README.md sensor table,DHW Cost renamed from Hot Water Cost by #174; existing installs keep their entity id,not checkable in this export,needs the issue tracker and a pre-#174 install,unverifiable,
C-VER-04,docs/configuration.md:~395,Before v5.1.6 the page simply refused to save,not checkable in this export,needs release history,unverifiable,
C-VER-05,docs/configuration.md:~59,The Danfoss ECL110 MQTT fields were asked here until v4.1.0,not checkable in this export,needs release history,unverifiable,
C-VER-06,README.md:~830,Backlog items 1-33 are all delivered,not checkable in this export,docs/backlog.md is deleted from this export by the round-3 dispatch,unverifiable,
