D0-s1 | tests/optimality.py:score_plan / pin_result | closed: owner deferred to catch-up batch; re-route then (owner D3-s3)
D1-s4 | custom_components/heatpump_optimizer/coordinator.py:thermal-learning load of internal_gains_profile (~3018-3023) and _learn_internal_gains (~8550) | closed: non-finding by measurement: gains_nan_probe.py nonfinite=0/4 (QuarantiningStore._sanitize scrubs "nan"/"inf" strings before float()); --raw bypass control 4/4
D1-s4 | custom_components/heatpump_optimizer/coordinator.py:_shutdown_process_pool / _run_in_process | closed: closed by D1-s2-05 (shutdown waits on _PROCESS_LOCK held across the solve)
D1-s4 | custom_components/heatpump_optimizer/coordinator.py:_forecast_arrays | closed: non-finding by measurement: forecast_nonfinite.py failed_arms=0/7 at the coordinator boundary; positive control -1e308 fails (finite-absurd class is D1-s4-owned)
D1-s5 | custom_components/heatpump_optimizer/coordinator.py:HeatPumpOptimizerCoordinator (price_sensor attributes at ~6992, peak_threshold_kw) | closed: closed by D1-s5-02 (negative threshold from a corrupt peak store is that finding's producer; publishing is its downstream)
D1-s5 | custom_components/heatpump_optimizer/coordinator.py:solar_radiation horizon build from OpenMeteoSolar.irradiance_for | closed: closed by D1-s5-04: all-None irradiance falls back to the weather entity, else 0.0 (coordinator.py:6159), logged at DEBUG
D4-s2 | custom_components/heatpump_optimizer/coordinator.py:dhw_legionella_above_setpoint repair (config_flow._dhw_legionella_warning judgement) | closed: non-finding: the shipped 55/60 default pair is excluded as "stock" in legionella.py, so a fresh default install raises no repair
D6-s1 | custom_components/heatpump_optimizer/services.py:handle_apply_manual_plan | converted D1-s2-54 (free steps 0/96 at apply and at 23 h with expires_at=+48 h; clamp arm 16/96)
D8-s1 | custom_components/heatpump_optimizer/coordinator.py:_get_current_price / _current_spot_price | closed: closed by D2-s3-01 (hour-window pricing under quarter-hour prices)
D14-s4 | custom_components/heatpump_optimizer/coordinator.py:_run_in_process / _ensure_worker | converted D1-s2-55 (planned=0/3, fallback_notice=0; wrap arm 3/3 with notice 1)
D1-s1 | custom_components/heatpump_optimizer/dhw_draws.py:DrawStats.fold / from_dict | closed: closed by D1-s1-03 (unbounded DrawStats energy is that finding)
D1-s1 | custom_components/heatpump_optimizer/inputs.py:input reader (problem codes) | converted D1-s5-52 (12/12 sentinel cells delivered ok; --range arm 2)
D1-s2 | custom_components/heatpump_optimizer/thermal_model.py:ThermalModel._stability_substeps | closed: closed by D1-s2-02 (runaway wind-driven substeps)
D1-s2 | custom_components/heatpump_optimizer/optimizer.py:HeatPumpOptimizer.optimize | closed: closed by D1-s2-02 (non-physical finite forecast accepted); owner-side D1-s4 guard scope
D1-s5 | custom_components/heatpump_optimizer/optimizer.py:HeatPumpOptimizer._stash_price_horizon | closed: inf sigma unreachable: QuarantiningStore._sanitize scrubs non-finite residual_var before from_dict; finite-absurd variance is D1-s5-02; price_risk_lambda defaults to 0
D1-s2 | custom_components/heatpump_optimizer/store.py:QuarantiningStore._sanitize | closed: closed by D1-s2-03 (>= 2**64 counts through the loader int())
D2-s1 | custom_components/heatpump_optimizer/sysid.py:identify / heat-loss learner (house_heat_loss_scale) | closed: closed as seam of D2-s1-01: the learned scale enters the same diagonal the substep count already includes
D2-s4 | custom_components/heatpump_optimizer/thermal_model.py:ThermalModel.simulate_step | closed: closed by D2-s1 non-finding (dt invariance measured by the owner)
D8-s1 | custom_components/heatpump_optimizer/coordinator.py:_dhw_setpoint_sweep | converted D2-s1-51 (14/14 cold candidates off by >5 % (worst 52.7 %); F+5 control 0; --forecast arm 0)
D8-s1 | custom_components/heatpump_optimizer/battery.py:VirtualBattery / label_measured | closed: closed by D12-s1-01 (unmodelled constant tank default) and the #282 disclosure decision
D6-s2 | docs/configuration.md:lines 181-187 (setup hot-water table) | closed: closed by D5-s1-02 (configuration.md table split)
D7-s2 | custom_components/heatpump_optimizer/optimizer.py:OptimizationResult.buffer_temp_trajectory | converted D5-s2-51 (model_sequence_writes=0; --plant arm 1)
D1-s1 | custom_components/heatpump_optimizer/:set_thermal_parameters | converted D1-s2-53 (24 of 26 changed fields lost at restart; --persist arm 0)
D1-s1 | custom_components/heatpump_optimizer/:async_reset_comfort_weight and the cycle-end save | converted D1-s2-52 (5 of 5 writers lose persisted state; --after-read / --wait arms 0)
orchestrator (#110) | custom_components/heatpump_optimizer/inputs.py:INPUT_MAX_AGE_MINUTES age gate (Indoor Temperature unavailable after 60 min) | converted D1-s5-51 (4 of 7 silence cells unavailable (61/90/240/480 min); --scale 8 arm 0)
orchestrator (#110, D4 framing) | custom_components/heatpump_optimizer/www/heatpump-optimizer-card.js:IndoorTempSensor source-id attribute / card _entityIds indoor derivation | closed: D4 (card): route to D4 owner. The D4 side stands structurally: IndoorTempSensor publishes no source-entity attribute (sensor.py:636-661 defines no extra_state_attributes) and the card derives its indoor trace only from *_indoor_temperature_optimizer (card.js:4749-4775), so it cannot draw the raw thermometer through the stale gap; not measured by L1
D1-s1 | tests/hastub/homeassistant/helpers/storage.py:Store.async_save/async_load | converted D1-s1-51 (6/6 hostile tokens load in stub vs HA drops file; --orjson arm 0) [outside L1, measured before the split]
D1-s2 | tests/hastub/homeassistant/helpers/storage.py:Store.async_load | converted D1-s1-51 (6/6 hostile tokens load in stub vs HA drops file; --orjson arm 0) [outside L1, measured before the split]
D1-s4 | tests/hastub/homeassistant/helpers/storage.py:Store.async_save/async_load | converted D1-s1-51 (sibling lost stub 0 vs HA 5) [outside L1, measured before the split]
D1-s3 | tests/hastub/homeassistant/util/dt.py:now | converted D1-s1-52 (6/6 naive-vs-aware verdicts inverted; HASTUB_TZ=UTC arm 0) [outside L1, measured before the split]
D14-s1 | tests/hastub/homeassistant/util/dt.py:now | converted D1-s1-52 (6/6 naive-vs-aware verdicts inverted; HASTUB_TZ=UTC arm 0) [outside L1, measured before the split]
D7-s3 | tests/nightly_ha.py:line 1274 (return inside finally, A4 recovery block) | converted D7-s3-51 (swallowed=2/2, syntax_warnings=1; --fixed arm 0/0) [outside L1, measured before the split]
D0-s3 | custom_components/heatpump_optimizer/optimizer.py:HeatPumpOptimizer._warm_start_starts docstring / coordinator._warm_seeded | converted D5-s2-51 (handed_offset_steps=0 vs elapsed_steps=2; --shift arm 2) [outside L1, measured before the split]
D1-s2 | tests/harness.py:ha_unload_entry | closed: non-finding by measurement: unload_coroutines.py dropped=1, raised_when_run=0 (the dropped async_shutdown coroutine has no effect the harness can observe) [outside L1, measured before the split]
