finding	seat	vote	severity	own_number
D5-04	v1	verify	low	instance verified; a ten-phrasing supersession sweep across all 98 files still returns exactly one statement
D6-01	v1	verify	medium	menu-traversal harness independently gives 21/6/15/20; the CONTENTS claim is UNDERSTATED - 31 misplaced rows against the finder's "several" (its check hardcodes 5 keys, finds 4)
D6-02	v1	verify	low	asymmetry EXECUTED: corrupting README fails the census checks, corrupting configuration.md and architecture.md leaves all four green; 74 confirmed by two unrelated routes
D6-03	v1	weaken	low	counts verify from the registered schemas (16/4/5 vs 11/3/3) but the severity sentence is FALSE - all 69 service fields have name+description in strings.json and BOTH translations
D6-04	v1	verify	low	12 distinct keys from 13/15 raw constructions (no double-counting); exactly 12 Store( sites integration-wide; the away store is written on FIRST STARTUP with no user action
D0-01	v1	weaken	low	obj_gap_max_pct=1.0430 15/32 reproduced exact; realised bill net -9.7090 SEK/day over 128 cells (22 dearer vs 16 cheaper); closed-loop +0.2633 SEK/day 3of5 dearer
D0-02	v1	weaken	low	D0_NO_POLISH=1 EXECUTED first time: gap_max_pct=0.0000 all 32 cells -> to_zero, harness NOT void; restated 2 of 32 cells not 9; closed-loop net -0.9348 SEK/day, carrying cell flips dearer
D4-01	v1	verify	medium	42/42 raster cells below 4.5 (1.90 light/2.36 dark, 7 chips x 2 themes x 3 viewports); 7 real Tab stops; real hit-tested click persists to localStorage; finder UNDERSTATED reach (no-solar chip stays .nodata permanently) and OVERSTATED harm (restorable in one click)
D4-02	v1	verify	medium	away-strip min hit-testable height 14px vs 28px styled controls same page; 2 of 38 dialog controls under 24px, both in the strip; universal false by one (.wi-section also matches zero rules, harmless)
D4-03	v1	weaken	low	0 vs 34 sections under three counting rules over three data sources; but 70 is a union over an either/or menu branch + non-setup reauth: default install path is 14 of 19, worst single walk 48 of 60; config.user_sensors has 0 required fields so the stated harm does not exist
D6-01	v2	verify	medium	21 pages (6 top/15 advanced) vs 13 documented; 8 advanced undocumented; 64 of 167 option fields on pages with no doc row; no counting rule yields 13 (13 = the docs' own table row count)
D6-02	v2	verify	low	74 entities = 59+5+4+4+1+1 by two independent rules that agree; 5 documented census sentences wrong; 0 gate scripts read either file; restated as cause-and-symptom (README pinned, identical sentence in configuration.md not)
D6-03	v2	weaken	low	runtime schema 16/4/5 vs documented 11/3/3, and runtime_vs_yaml differ on ZERO of twelve services; but all eight omitted fields carry name+description in strings.json so HA's Actions UI shows them - "documented nowhere" premise refuted
D6-04	v2	verify	low	12 Store keys constructed, 2 written (away on FIRST STARTUP with no user action, boost on a boost), 10 listed; no async_remove_entry so manual list is the only cleanup; repair is GATE-BLOCKED
D5-01	v2	verify	medium	10 of 180 undocumented (finder rule reproduced); finder rule has 22.1% FALSE-RESCUE so 10 is a FLOOR, strict verbatim gives 17; null control 170/180 (94.4%) documented; severity earned by a chain the finder missed (README:483 states 1 of 6 availability conditions for wood_cheaper, omits the 4 gating fields)
D5-02	v2	weaken	low	finder metric 27 reproduced exactly BUT genuinely unfindable is 2 of 739 sites - 17 of 18 card sites located under post-decomposition names (_refreshLayout->LayoutEditor.refresh():9134 etc); scope-artefact hypothesis REFUTED (card JS is in vocabulary, 1775 identifiers); headline inflated ~13x
D5-03	v2	verify	low	1 dead anchor of 338 links, but 1 of 6 README same-doc anchors and 1 of 3 in the :194 navigation sentence; survives a punctuation-insensitive slugger; nearest heading only 0.29 token overlap
D5-04	v2	verify	low	readme_links_to_superseded_doc=1 and forward_pointer_missing=1 of 1 supersession statement in the tree; perturbation shows the two metrics move INDEPENDENTLY so they are two separable defects not one counted twice
D11-01	v3	verify	critical	ruleset_has_pull_request_rule=0, required_approvals=0, bypass RepositoryRole 5 always, C_github_review_object=0/39; 1 genuine direct push to main after the ruleset went live (the other 2 no-suffix commits DO have PRs once the API is asked)
D11-02	v3	verify	high	contexts_excluded_from_pull_request_by_own_if=1 (record) of 18; G_record_required_context_skipped=39/39; 2-5 required contexts conclude skipped at every one of 12 heads, and closures is skipped on a PR BY THE SCOPING'S OWN DESIGN, so no "make skipped not satisfy" remedy exists
D11-03	v3	verify	high	arm_miss_exit=0 / arm_fire_exit=1 on a REAL policy loosening (owner-confirmation clause deleted from CLAUDE.md); all 6 policy-docs steps green on the mutated tree and --budgets REWARDS the deletion 198->197 lines; MAGNITUDE CORRECTED 32/50 -> 6/14 (gate-exists regime) -> 1/6 (ruleset-live regime)
D11-04	v3	weaken	low	private-vulnerability-reporting endpoint returns {"enabled":true} so "a reporter today has no non-public channel" is REFUTED; what survives is Scorecard Security-Policy 0/10 and org .github fallback closed (404). hygiene, not bug
D11-05	v3	verify	medium	read_and_write_prompts=5, boundary_files=1 of 36 (denominator corrected from 35); issue_read sits in the same block as merge_pull_request/create_pull_request/issue_write; no JOB executes seat-unwritten text (sc_dangerous_workflow_sites=0) so exposure is latent, medium not critical
D10-01	v1	weaken	low	value 3 not 4 (the 4th cell IS D10-02, double-counted); TOTALS LINE REFUTED as an independent claim - the file's own enumerator returns {done:44,todo:6,exempt:4}, exactly what the line says; "nothing reads it" is already a RECORDED DECISION at tests/closure.py:662-695 with null and positive controls, pinned INERT+NEVER_WIDENED
D10-02	v1	verify	low	1 of 270 under a stricter ruler (descends sections, checks strings.json + en.json + sv.json, all three give 1 of 270); suite genuinely blind - removing the key from all three at once is invisible, one file is caught only by translation PARITY not completeness; consequence smaller than stated (the step carries its own description in all three languages)
D10-03	v1	weaken	low	578 is a RULER ARTEFACT: 562-609 across reasonable invocations, collapses to 191 under the repo's own pinned toolchain in tests/typing_budgets.json; gap is the untyped stub (no-untyped-call 174 vs 7). Own AST ruler gives 65 of 1303, location set IDENTICAL to mypy's 67. py.typed REFUTED - home-assistant/core 2026.9.0 has exactly ONE py.typed at package root, zero of ~1400 integrations carry one
D10-04	v1	weaken	low	STATED CAUSE REFUTED: stub given upstream's own parameter list (config_entry named, keyword-only, ContextVar fallback) gives a FAIL set IDENTICAL to baseline 34/34 - naming the parameter reveals nothing. Upstream falls back to config_entries.current_entry which is set around the whole entry setup; HA 2026.8/2026.9 DROPPED breaks_in_ha_version and report IGNORE for custom integrations. Zero user-visible consequence. Gate-blindness half VERIFIED (armM moves none of ~3660 checks; only a line budget fires)
D4-01	v2	verify	medium	1.90 light / 2.36 dark RASTERISED, identical across 7 chips x 2 themes x 3 host widths; tab_stops_total=7 and ALL SEVEN are the unreadable chips - they are the entire keyboard surface; 1 chip permanently nodata with no solar sensor; "permanently hides" NOT earned (16.10, one click restores)
D4-02	v2	verify	medium	13px min activation; 11 of 25 finger-target points activate the toggle; null control 24px over 33 styled controls (finder's 29 was over 6 of its 12 named selectors); away_service_call_fires=1 heatpump_optimizer.set_away - the finder's stub never wired it; UNIVERSAL REFUTED: 24 unstyled class tokens not 1; mis-tap is inert (calls 0->0)
D4-03	v2	weaken	low	0 config vs 34 options sections under 3 rules, and section() is constructed in exactly ONE options-only place so a config-flow section is structurally impossible not merely absent; 70 is a union - default "Finish setup now" path is 19 fields over two forms, 3.7x smaller; CONSEQUENCE REFUTED: config.user_sensors 0 required of 14, title "Optional sensors", 13 of 13 config steps carry a description
D0-01	v3	weaken	low	COMPARISON IS UNFAIR: superset arm costs 2.4444x refinements. Production's OWN starts restarted (arm B) recover 83.11% of the gap at LESS simulation work (1.67x vs 2.48x) and beat the superset in 22 of 32 cells. Residual start-selection value: fair_gap_mean=0.0241%, 0.0004% after LOO. NOT ACTIONABLE (+126.18% rows)
D0-02	v3	weaken	low	price-shape null collapses 10x -> 1.6x at the SHIPPED comfort band (DEFAULT_MIN_TEMP=19.0; every D0 number was taken at min_temp=17.0). Threshold sweep 9/4/3/2 at 1x/10x/100x/0.1%. ACTIONABLE: +6.55% rows, 8.7x cheaper per point than D0-01
D10-01	v2	weaken	low	3 by an independent harness (real coordinator, real fetch path, whole logger tree) with four working null controls; totals line REFUTED again; NEW - the aggregate is GRID-SENSITIVE: supply the coverage artefact under the filename the harness reads and divergences go 4->5, and the EXPECTED header reproduces in NEITHER cell
D10-02	v2	verify	low	1 of 270 in strings.json; 3 of 810 across all three shipped translation files, same field each time; ruler-robust (recursing into 102 section blocks adds 0); the reauth screen - reached precisely BECAUSE the token stopped working - carries no developer.tibber.com pointer while the setup step does
D10-03	v2	weaken	low	67 is the ONLY ruler-invariant number. Four fully-stated rulers: finder 578, no-stand-in 562, repo's own pinned 187 (census records 191, so 4 STALE), and one where mypy DIES on numpy's stub and a naive counter reads 0. The finder's ruler FAILS the repo's own construction guard - 70 of 648 error lines land inside tests/hastub. py.typed REFUTED: 0 of 1509 integrations carry one
D10-04	v2	weaken	low	MECHANISM REFUTED HARDER: with the stub BYTE-IDENTICAL to what ships, a check wrapping DataUpdateCoordinator.__init__ is FAIL at baseline and ok after the one-keyword fix - v2_check_needs_stub_change=0, and the finder's own harness is such a check. 11 HA releases surveyed: ContextVar fallback present at every one, IGNORE throughout, breaks_in_ha_version DROPPED at 2026.8.0
